smiles,mpC
CC(=O)c1ccc2c(c1)NC(=O)CO2,196.0
C1CCC2=NCCCN2CC1,-70.0
CC(=O)NC12CC3CC(CC(C3)C1)C2,148.0
NC(=O)c1ccc(F)cc1,156.0
Cc1ccc2c(c1)C(c1ccccc1)C(c1ccccc1)N2,155.0
CC1(C)C(=O)C(C)(C)C1=O,114.0
CCc1noc(C)c1C(=O)O,123.0
OB(O)c1c(F)cc(F)c(F)c1F,127.0
CCC(CO)(CO)CO,60.0
c1ccc2sncc2c1,38.0
COc1cc(C=CCO)ccc1O,74.0
Cc1ccc(C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1,118.0
c1c[nH]nn1,24.0
OCC1OC(Oc2ccccc2)C(O)C(O)C1O,154.0
SCCCCCCS,-21.0
O=CN(c1ccccc1)c1ccccc1,73.5
O=C1Cc2ccccc2CO1,83.0
CCCCCCOCCCCCC,-43.0
C[C@@H]1CNC[C@H](C)O1,-85.0
COc1ccncc1,4.0
COc1cc(CC#N)c([N+](=O)[O-])cc1OC,111.0
Cn1c(C(C#N)=NNc2ccc(Cl)cc2Cl)nc2ccccc21,161.0
O=S(=O)(Cl)Cc1ccc(Cl)cc1,95.0
O=C(F)c1ccccc1,-28.0
O=C(c1cccc2ccccc12)C(O)c1ccccc1,105.0
O=[N+]([O-])c1cccc2c(Cl)cccc12,111.0
Cc1cc(C)c(C(=O)C(=O)O)c(C)c1,121.0
CCOC(OCC)OCC,-61.0
COC(=O)c1ccc(C)cc1C1NC(=O)C(C)(C(C)C)N1,113.0
Nc1c([N+](=O)[O-])cccc1[N+](=O)[O-],133.0
COC(=O)c1ccccc1N,24.0
O=C(/C=C/c1ccccc1[N+](=O)[O-])c1ccccc1,126.0
O=C(O)c1cc(OC(F)(F)F)ccc1O,132.0
C=C(C)CCCCCCCCCCCCCCCCC,20.0
Cc1cc(O)c(Cl)c(C)c1Cl,96.0
Fc1cc(Br)ccc1I,48.0
C=C(C)CCCCCCC,-64.0
S=C(SC(=S)N1CCCCC1)N1CCCCC1,110.0
N#CCOc1ccccc1Br,49.0
O=S(O)c1ccccc1,84.0
C=CCCC(=C)C,-128.8
CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,109.0
O=C(O)CNC(=O)CCl,102.0
O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,263.0
O=Cc1c(O)ccc(F)c1F,55.0
CCC(C(=O)O)c1ccc(-c2ccccc2)cc1,124.0
CC1(C)CNC(=NN=C(C=Cc2ccc(C(F)(F)F)cc2)/C=C/c2ccc(C(F)(F)F)cc2)NC1,190.0
CC1C(c2ccccc2)=Cc2ccccc21,58.0
O=C(O)c1cc(Br)ccc1Br,155.0
CC12C=CC(=O)C=C1C(F)CC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,210.5
O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,5.5
CCOC(=O)[C@@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,143.75
CCOC(=O)C1=NN(c2ccccc2)C(=O)C1C(Br)C1(Br)C(=O)N(c2ccccc2)N=C1C(=O)OCC,201.0
c1ccc2c(c1)ccc1nc3ccc4ccccc4c3cc12,216.0
Cc1ccc(C(=O)O)cc1F,170.0
COc1cc(CC(C)N)c(OC)cc1C,60.75
Cc1oc(C(C)(C)C)cc1C(=O)O,92.0
CCCCCC1C(=O)CCC1CC(=O)OC,-10.0
C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,132.5
FC(F)(F)c1cc(CBr)ccc1Cl,38.0
NS(=O)(=O)c1ccccc1OC(F)(F)F,189.0
O=c1nc(-c2ccccc2)oc2ccccc12,123.5
CN(C)CCN1C(=O)c2ccccc2Nc2cc(Cl)ccc21,165.5
NC(=O)c1cc(Cl)cc(Cl)c1N,162.5
Clc1ccc2cc[nH]c2c1,89.0
CC12CCC(CCC1=NNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C2(C)C,233.0
CCc1ccccc1Br,-68.0
Oc1cccc(F)c1,12.0
Cc1cc(C=O)c(C)n1-c1ccc(F)cc1,117.5
Cc1cccc2sc(=N)[nH]c12,138.0
CC12CCC(=O)C=C1CCC1C2CCC2(C)CCCC12O,180.0
COC(=O)C1(O)c2ccccc2-c2ccc(Cl)cc21,139.0
COc1cc(C)ccc1S(=O)(=O)Cl,87.0
c1ccc(N=Nc2ccc(N=Nc3ccc(N=Nc4ccc(N=Nc5ccccc5)cc4)cc3)cc2)cc1,275.0
O=C(C=Cc1ccc(-c2ccc(Br)cc2)o1)c1ccco1,165.0
Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,159.0
Cc1cc(O)ccc1Br,59.0
COc1ccc2cc1Oc1ccc(cc1)CC1c3cc(c(OC)cc3CCN1C)Oc1c(OC)c(OC)cc3c1C(C2)N(C)CC3,217.5
CCOC(=O)NNC(=O)OCC,135.0
CC=CCCC=CC,-76.0
CC(=O)c1ccc(O)cc1O,144.0
NC(=O)c1ccccc1Br,161.0
CC(=O)CBr,-36.5
Cc1ccc([N+](=O)[O-])c2ccccc12,71.5
O=Nc1ccc2c(O)ccc(N=O)c2c1O,250.0
C#CC(OC(N)=O)c1ccccc1,86.5
COc1ccc2c(c1)CCC(C(=O)O)C2C,133.0
O=C(O)C=Cc1cc2c(cc1CC(=O)O)NC(=O)CC2,234.0
COc1ccc(C=C2N=C(c3ccccc3)OC2=O)cc1OC,133.0
CS(=O)(=O)OCCCNCCCOS(C)(=O)=O,115.5
CC(NC(=O)C(=O)NN)c1ccccc1,157.0
O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl,84.0
Cc1c(C)c2c(c3c1C(=O)C3)CC2=O,207.0
Cc1ccc(OCC#N)cc1,43.0
O=c1c2cc(F)ccc2nc(-n2cncn2)n1-c1ccc(Cl)cc1Cl,192.0
N#CC(=Cc1ccc(Cl)cc1Cl)c1nc(-c2cccc3ccccc23)cs1,133.0
ON=C(NN=C(Cl)C(F)(F)F)C(F)(F)F,118.85
Cc1ccc(-c2cccc(-c3ccc(C)cc3)n2)cc1,165.0
CCCCCCCOc1ccc(N)cc1,45.0
O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,375.0
Clc1cc2c(cc1Cl)Oc1cc(Br)c(Br)cc1O2,316.0
COC(=O)CCC(C)C1CCC2C3C(O)C(O)C4CC(O)CCC4(C)C3CC(O)C12C,162.0
CCn1ccc(NS(=O)(=O)c2ccc(N)cc2)nc1=O,166.5
CCCCOC,-115.0
COc1ccc(OC)c(F)c1,25.0
CN=C=S,32.0
CCc1ccccc1-c1ccccc1,-6.0
CC1(C)[C@H]2CC[C@]1(C)CC2,158.5
O=C(OC1CCCCC1)C(=O)OC1CCCCC1,43.5
COC(=O)C=Cc1ccccc1SC(C)(C)C,59.35
CC(C)(C)[SiH](Cl)C(C)(C)C,39.0
Nc1ncc(Cl)cn1,235.0
COC(=O)c1ccc(C(=O)O)cc1[N+](=O)[O-],175.0
CC(C)(C)OC(=O)NCC(=O)N(Cc1ccco1)C(C(=O)NCc1ccccc1)c1ccccc1,147.0
CC(C)(C)OC(=O)NC1CCNCC1,164.0
Ic1ccccc1,-31.0
ON=C(CC(NO)c1ccccc1)c1ccccc1,141.0
c1ccc2cnncc2c1,91.0
Oc1ccc2ccc(O)cc2c1,186.0
Cc1ccc2cnn(C)c2n1,184.0
COc1ccc(F)c(F)c1C=O,59.0
O=[N+]([O-])c1ccccc1-n1cccc1,59.0
CCCCCCCCCCCCCCc1ccccc1,9.0
c1ccc(Cc2ccccc2)cc1,24.0
CCCC(O)CCC,-42.0
N#Cc1cc(-c2ccccc2)cnc1Cl,145.0
Nc1ccc(F)cc1[N+](=O)[O-],92.0
COc1ccccc1C(=O)O,101.0
C=C=O,-151.0
OB(O)c1cc(F)c(F)c(F)c1,277.0
CC(C)C(C)(C)C(C)(C)C,-36.0
Nc1nc(N)nc(-c2cc(Cl)ccc2Cl)n1,268.5
NS(=O)(=O)C(F)(F)F,118.0
COC(=O)CCC(C)C1CCC2C3C(OC(C)=O)CC4CC(=O)CCC4(C)C3CC(=O)C12C,166.0
CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C,50.5
O=C1NC(=O)C2C3C(C(O)(c4ccccc4)c4ccccn4)=CC(C3=C(c3ccccc3)c3ccccn3)C12,194.0
CCCCCCC(C)CC,-85.0
COC(=O)c1cc(C)n(C)c1C,117.0
COc1ccc(C2(C)CCc3oc4ccc(C)cc4c3-c3oc(C)cc32)cc1,170.0
C=C1C(=O)C23C4CC5C(C)(C)CCCC56COC(CC1C2OC(C)(C)O4)C63,163.0
Cc1ccc(O)cc1N,157.8
C1CCN(C2CCNCC2)CC1,68.0
O=C(Nc1cccc(Cl)c1)OCC#CCCl,75.0
COc1cc(C)cc(OC)c1O,39.0
CC(=O)c1ccc(B(O)O)s1,145.0
CCCCCCCCCCCCCCCCCC(=O)OCC(O)CO,74.0
CS(=O)(=O)c1cc(C(F)(F)F)ccc1C(=O)c1cnoc1C1CC1,140.0
c1ccc2c(Oc3cccc4ccccc34)cccc2c1,110.0
N#Cc1cc(OC(F)(F)F)ccc1O,86.0
COC(=O)COc1ccc(Cl)cc1Cl,119.0
COC(=O)c1cccc(C(=O)OC)c1,69.0
O=C(O)Cc1ccc(Cl)c(OC(F)(F)F)c1,62.0
COc1ccccc1[N+](=O)[O-],10.0
O=C1C(=C2C(=Cc3coc4ccccc4c3=O)C(=O)c3ccccc32)C(=O)c2ccccc21,251.0
CBC,-72.5
O=C1OC(OC2OC(=O)C(Cl)=C2Cl)C(Cl)=C1Cl,142.0
CC(C)c1cc(C(C)C)c(S(=O)(=O)n2cncn2)c(C(C)C)c1,111.0
CC(OCCc1ccccc1)=C(C#N)c1ccccc1,118.0
N[C@@H](CO)C(=O)O,222.0
CCOC(=O)CCC(=O)OCC,-21.0
FC(F)C(F)F,-89.0
O=c1[nH]c2cc(Cl)ccc2o1,191.5
CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N,114.0
COC(=O)c1ccc(O)c(OC)c1,64.0
Oc1ccccc1C(F)(F)F,46.0
CCOCCO,-90.0
O=[N+]([O-])c1cccc(F)c1CBr,52.0
NNC(=O)c1cccc(Br)c1,156.0
CC(=O)Nc1c(Cl)cccc1Cl,181.0
CCOP(=S)(OCC)Oc1cnccn1,-1.7
COC(=O)C1=C(C(=O)OC)CC2=C(CC3=C(C2)CC(C(=O)OC)=C(C(=O)OC)C3)C1,261.0
Cc1ccc2ccccc2c1[N+](=O)[O-],81.5
CC1(O)CCC(C(C)(C)O)CC1,158.5
Cc1c(Cl)ccc(OC(C)C(=O)Nc2ccccc2)c1Cl,146.5
